GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,11,110,5,10,1,21,4,7,0,3
parking-system,com.parkit.parkingsystem.service,ParkingService,36,236,5,12,12,62,5,11,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,28,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,17,0,0,0,6,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,0,36,0,0,0,16,0,8,0,8
parking-system,com.parkit.parkingsystem.model,Ticket,5,78,2,6,2,25,2,15,0,13
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,43,10,4,0,14,2,5,1,3,1
parking-system,com.parkit.parkingsystem.dao,TicketDAO,48,324,5,13,16,81,5,12,0,8
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,15,96,2,2,5,25,2,4,0,4
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,36,57,5,1,18,18,5,4,2,4
